sentiment,review_body,product_category
1,Fit is boxy yet flattering and material is sheer but not overly delicate. took my usual size four  i am moderately short waisted.,Blouses
1,"I'm only 4'11"" and this top comes to the top of my knees. i could wear it as a mini-dress. lol! so  it is definitely a tunic for us shorter gals. now  it can be shortened. the underlayer can be cut and rehemmed shorter. then the over-lay lace has to be very gently snipped around the scallop pattern a few rows up. i'm debating whether i should do it or not. the bottom is simply a snipped off row from the fabric to create the scallop lace trim anyway.    as far as sizing  it's tailored. i didn't f",Blouses
1,Thicker than you think...the colors are gorgeous and remind you of the changing of the seasons. can not wait to wear when the weather gets cooler. retailer did not disappoint. plan to purchase in other color soon.,Blouses
1,This top is my new favorite. i thought it might have too much volume  but it does not. it is very flattering. the color looks just like the picture.,Blouses
1,I found this top to be quite flattering.........the slight give in the outer straps is necessary to allow for arm movement without issue.  i did not find it to diminish the aesthetic value.  i purchased it in white and loved it so much that i ordered the black also....not much of a pink person or i would have gotten that one too!  classic with a bit of a casual edge.  a must get!,Blouses
1,Gorgeous top  and generous to fuller figures. i meant to order an xl but somehow ended up with the l. was positive i'd have to return it  but it was perfect. went back and bought the white. it's one of those wonderful pieces that feels classy and fun at the same time. very flattering fit.,Blouses
1,Looks great with jeans for a more bohemian look.  i normally wear a medium but went large to accommodate a 6 month pregnant belly.  the blouse is loose enough i probably could have stayed with the medium.,Blouses
-1,This dress is just very unattractive. it is quite short-waisted  almost empire and so the pockets hit in an odd place. also it is very long - midi length - and the skirt is very wide. the effect is matronly  not cute at all. size-wise it fit true to size and it is a nice medium weight denim and the construction is good.,Dresses
-1,Unfortunately  this dress did not work for me like the other reviews. i am 5'8  130lbs  and the dress looked like a tent on me (size s). there was just way too much material at the bottom. also  while the dress is lined  both layers are quite thin- not see through  but i would not call them substantial either. for the cost of the dress and the material  it wasn't worth paying more to have it tailored to fit better.,Dresses
-1,"This may be the ugliest dress with the worst fit i have ever tried. the blue stripes are brighter than they appear in the photo  absolutely garish. the top is baggy with awful beads on the back ties  it just looks cheap. the skirt is an antebellum nightmare.    i did not even want to try it on  it's that bad. i considered adding a photo  but was too horrified.  for reference  i'm 5'10""  approximately the height/ size of the model  but it was shorter than the photo depictes. i wanted to like it ",Dresses
-1,I bought this dress to wear to an out of state wedding. first time wearing  when i tied the strap  the pull through at the top of the halter broke with minimal stress. i sewed it back with a repair kit from the hotel but was worried the whole night the dress would not hold up. if this is all that is holding the dress on  it should be more secure with reinforced stitching. beautiful material and comfortable.,Dresses
-1,I was so sure i was going to love this dress when i saw it on the rack. i was so disappointed by how poofy on the bottom. it was not flattering at all! i'd love to see this pattern back with a better fit.,Dresses
-1,Was excited to receive this dress as i got it at a great price on sale. the colors are great and it fits pretty good  but it came without a slip!!  so disappointing to not receive the entire dress!!  hence the 2 stars. may send it back for this reason.,Dresses
-1,This jumpsuit is so cute and it looked amazing on. i had to return it because of the poor design. it was extremely hard to put on and take off! there are so many buttons to do and undo which are not as easy as snaps! the fabric buttons definitely make a great look to the jumpsuit but there should be a zipper on the side for easy access  or use snaps instead of the loops for the fabric buttons. what a shame of a lovely and classy design on a good quality material  but not worth it if it's difficu,Dresses
-1,Dress is pretty  i was disappointed by the slip which is too small like previous customer. i am an inch taller than the model and i feel more comfortable it being a tunic with leggings. nice but not nice enough to keep  i am returning. :(,Dresses
-1,I wanted to like this so much. it's a great good girl dress  church dress. however  it makes no sense. it's a summer dress with massively thick lining that snags i'm petite and busty and it made me look and feel very wide.,Dresses
0,This is a lovely dress  with great fabrication. nice detail on the zipper placket. good material. however  it runs small in the waist  if you had a nymph waist this is for you! i couldn't get it zipped.,Dresses
0,"I'm usually a petite  but bought in regular xs. perhaps a petite would have worked better  but this was way too low cut in front and back. i did not like the way it hung on me at all. i'm 5;2"" and 105 lbs  but regular xs normally fits better than this did. i could barely keep the shoulders from slipping off. sorry  it's a return for me.",Dresses
0,I ordered my normal size 6 in this dress and could barely get it on. it runs very small. i would suggest going up a size or maybe even two sizes up.,Dresses
0,Love at first sight (via the internet); upon arrival  i was on the fence. . the fabric is slinky and loose; so much so that i should have ordered a medium instead of a large (perhaps then the dress would have then been more of an a-line fit vs. an over sized dress with no body). the lower section of the sleeves is attached intricately to the upper arms; every slight movement of the body is followed by a slight tug at the sleeve/arm cloth; otherwise  when the arms are extended  the sleeves do hav,Dresses
0,I was so excited to see this yellow dress online but was disappointed with the color when it arrived. the yellow us much darker than pictured. i felt the dress ran true to size but if you're short you definitely want to go with petite sizes.,Dresses
0,This is a comfortable sweater dress  and the quality of the material seems good. the solid blue strip down the front makes it look very bland. i think it would need some dressing up with a necklace or scarf. i decided to pass.,Dresses
0,I wanted to wear this for my journey to cuncun and i wanted the blight pink as photo however it was a dark pink which didn't fit to me unfortunately... but the design was pretty!,Dresses
0,I saw this dress in the store and absolutely fell in love with the fabric and just had to have it. i ordered it on line in my size and when it arrived  i tried it on (or tried to try it on) and it didn't fit some parts of my bday (mainly in the bust). i ordered the largest size  so there was no where to go from there except to send it back. others here have complained about a strange fit in the tummy area (i.e.  too much material). i never got to find out because i really couldn't get the dress,Dresses
0,I fell in love with this dress when the catalog came in the mail and jumped online immediately to order it. the dress just arrived and is not as pictured in the catalog - the picture of the model walking on the beach. in that picture it appears to have black lining or a black slip underneath when in reality there is nude lining sewn into every edge and isn't going anywhere - for a minute i thought about having it removed by a tailor but it seems the entire dress would have to be re-sewn. some of,Dresses
1,"I bought this dress in red for a wedding. i love the laser-cut design and the fit overall is good except  as another reviewer wrote  the psuedo-empire waste is likely not awesome for anyone with an average to longer torso. i have a super long torso and the dress still works  but a lower waist would have taken it from good to ""wow"". love the innovative take on a classic silhouette/design  though (and the red is gorgeous).",Dresses
1,"I've eyed this dress forever and finally decided to buy it. i literally read every single review to make sure i ordered the right size. i'm 5'4-3/4""  36c-32-37 with a drop-waist that measures 34. based on the reviews  i ordered a regular size 6. i tried it on with a bra and also without  and the dress fits so well and beautifully both ways. but for complete comfort  i'll probably go without the bra (the lining and design don't show anything you don't want seen!). sitting in it feels great too. i",Dresses
1,For me  the v was too deep on this one  but the colors are beautiful.,Dresses
1,"Love this dress! i'm 5'7""  135 lbs and typically wear either a small or x-small in maeve. since this one has lots of extra fabric  i ordered it in an xs and xxs. they were basically the same everywhere except the xxs had a much shorter weave pattern at the top  so i ended up keeping the xs. it's great dress  lots of room and swings nicely.",Dresses
1,Fits like a dream: not too tight  not too loose. arm holes aren't too big (a common problem for me in sleeveless retailer tops/dresses)  the sweater material isn't itchy  and the pattern is unusual and eye-catching. i felt confident in this dress and received many compliments. great addition to the spring wardrobe.,Dresses
1,Tried this dress on at my local retailer and just fell in love with it. it is a sleek  almost '90's style design that is so comfortable and flattering at the same time. and it has pockets! i will be wearing it all summer with flats or sneakers.,Dresses
1,Love everything about this dress except - it runs huge.  i am busty and usually wear a 12 in dresses  but the large was completely shapeless on me.  will try medium and hope it is better bc otherwise i love the dress!!,Dresses
1,The first reviewer was right about this dress--checked her review before buying it. it's a beautiful creation and perfectly designed  and it's also slimming. i was worried that the fit might be too tight in the skirt  but it is fine. highly recommended.,Dresses
1,Very comfortable and versatile. got lots of compliments.,Dresses
-1,It's thin knit with a unique and pretty neckline  but unfortunately it's scratchy will not last. i just received it and it looks like it would fall apart after a few wears. it's a nice shade of offwhite at least. for me it's a no that will get sent back straight away.,Fine gauge
-1,I saw this on a mannequin in the store and so wanted it to work but was just too oversized and bulky. very good quality and material.,Fine gauge
-1,This hoodie was too thin. you can see right through it. i returned it.,Fine gauge
-1,The top looks better on the model than in-person. it fits loose and looks boxy and matronly. i don't like the sleeve length or the top style  it just didn't look flattering or good. i am sending it back. looks very boxy.,Fine gauge
-1,Didn't like at all. itchy fabric  looked good on model but on on busty girl.,Fine gauge
-1,After washing this top pilled terribly. it is beautiful  but only for one use.,Fine gauge
-1,As soon as you get up close to this sweater  you will notice that the bird on the front is of an interesting kind of material-almost like carpet that has been shaved waaaaaaaay down so that the little fibers are sticking straight up and a fraction of a millimeter high. i was not excited about this texture and can imagine it will be a huge magnet for collecting lint and dust throughout the day. the fit was way off on this one for me and was not flattering at all. it wasn't for me at all even thou,Fine gauge
-1,I love finding unique retailer pieces that don't require dry cleaning. i was excited to find this shirt  but it's not flattering. the bottom hem is a little tight  which makes the rest of the shirt look bulky. perhaps it would work better on people who have narrow hips. i also didn't like the pink tones when i saw the colors in person. i'll be returning this item.,Fine gauge
-1,I was very disappointed when it arrived and had elbow length sleeves. from the photo  it looked like full length sleeves. it went back.,Fine gauge
0,"This is a very lightweight  comfy sweater jacket. i wanted to love but didn't find it ""special"" enough for the price. i am usually between a small and medium and tried on both sizes in the gray and the navy. the small fit snug in the shoulder but i liked how the layering showed at the bottom of the front. that look was lost on the medium  though the general fit was better. in the end  the looked medium too sloppy for my taste  and the small felt too small.",Fine gauge
0,I love cashmere  love the length  cowl-neck and colors  however i found the yellow to be bit more vibrant in person  which i liked. i'm not sure i will keep this because it seemed to be a bit too thin for my taste. i would gladly pay a bit more for a thicker ply sweater... i might justify this one at a sale price.,Fine gauge
0,I have a collection of this artist's paintings throughout my home. she is a favorite. i was so excited to see the first clothing item offered at retailer. i ordered it at full-price. it looks the same in person as in the photos. the fit was true to size--it fits me as shown on the models. the knit was comfortable. the problem was the printed fabric. it was so flimsy and kept attracting static. no matter what i tried  i couldn't get the static problem solved. it was unwearable because of how messy,Fine gauge
0,First  i love moth clothing and own many  many of their pieces. this is very cute and i purchased it to go with the jules tank. the other reviewers are spot on with the cute factor and that it runs a little larger than the cropped sweaters. the snails are very cute  buttons run all the way down... caveat: it began to pill after only a having it on a few hours - and i wasn't doing anything to cause extra friction- just sitting and lounging mostly. i noticed pilling on the inside of the arms when,Fine gauge
0,Loved this top  but had to return it. the collar is gorgeous but terrible quality,Fine gauge
0,I got this as a gift and one for me. the medium fits my mom but i got the large because i'm 6'1 and it was large enough but so short waisted. i wouldn't recommend it for women over 5'7,Fine gauge
0,I bought this sweater in dark grey in the store. i really loved it at first - it's very soft and cozy and fits really well. i especially like that it's long enough to cover my tummy and butt when i wear skinny jeans or leggings. however  the other reviews that mention it gets fuzz all over the place are accurate. i doubt i would have bought this if i had read them first. it even has dark grey fuzz in the inside of the sleeves. however  my biggest disappointment is that after just one wearing  th,Fine gauge
0,"The high neck and ""square-ness"" did not work for me .. but might for someone else.",Fine gauge
0,Top is well made. runs large the arm holes were too big and sagged under my arms showing my bra. go a size smaller than your normal size.,Fine gauge
1,"I tried this on in the store and came online for the petite size. the length was fine on me  it's only the sleeves that would be better for me in petite. this cardigan is very cute. the dots are a bit more arty-looking in ""person"" than you can see here - more like watercolor or ink spots  which is a nice subtle touch. i put ""runs small"" just because i think you might want to size up if you plan on wearing much in the way of layers underneath. the merino wool is not itchy  it is nice and soft. i",Fine gauge
1,Last minute i needed a family-friendly top for a chilly night  so i tried on a couple of flowy sweaters at retailer and this was the keeper. while i found other styles a bit too boxy or bulky for my short torso  this has a nice a-line shape that gave me a slim profile while still being forgiving  plus the detail up top is feminine and i liked not having fabric piled up around my neck. i am usually a small but wanted this to fit like the model so i sized up to a medium and voila  i am a model. just,Fine gauge
1,"This cardigan can be dressed up with leggings and booties or dressed down with jeans and chucks. i love the fit of the small (5''3"" and small/medium build). would highly recommend for a dinner out or lounging around at home.",Fine gauge
1,I bought the lavender one and i'm so glad i did. the sweater looks prettier in person and it's super soft! the back detailing makes this one not your average v-neck sweater. i highly recommend this to anyone!,Fine gauge
1,This sweater is flattering  fun  and practical. i wear to work and out at night to dressier functions. i bought both the green and black. both are cute on and super soft.,Fine gauge
1,I just purchased this cardigan  it is better in person than the picture. the fit is fabulous  it is very versatile. it can be worn with many different options  definitively be wearing often.,Fine gauge
1,Received a lot of compliments when i wore this sweater. quality is wonderful. only thing i noticed is that it's a little shorter in length then what i was expecting.,Fine gauge
1,For a now feel  that comfy and well made  this was a great choice!,Fine gauge
1,"""does this sweater make my hips look big?"" my wife asked. this sweater was one of my christmas gifts to this fair maiden. . ""no  love  it does not "" i said  but i looked  to make sure my reflex was also correct. it's a beautiful sweater for my dear bride  mother of our three children  and no  it does not make her hips look big.  in fact  it draws out all her lovely lines and curves  just so. and she is a modest girl  so she wears a little undershirt so that her cleavage is somewhat...um...suppre",Fine gauge
-1,I am pregnant and i thought this would be a great sleep bra. it's soft and fits okay  but it has zero support or shape. i would only buy if you are a b cup or smaller and can get away without support. if i would have seen this is the store  i would have passed over it. however  i was too lazy to return so i am wearing it. it's comfortable so that's a redeeming quality. i would not recommend for larger chested ladies  though!,Intimates
-1,This could have been an amazing chemise but it is too short even for bed- perhaps it could be used for a tank. i am 5'3 but do have a long torso. it did not fully cover my booty.,Intimates
-1,Material is strange. triangle top is funky. this is just not awesome in any way.,Intimates
-1,3 tags sewn in  2 small (about 1'' long) and 1 huge (about 2'' x 3''). very itchy so i cut them out. then the thread left behind was plasticy and even more itchy! how can you make an intimates item with such itchy tags? not comfortable at all! also - i love bralettes and wear them all the time including to work. i am a b cup. however  this one is so thin and flimsy that it gives no support even to a b cup - so for me this would only be a lounging bralette - if it wasn't so itchy!,Intimates
-1,"This nightgown looked so comfy and cute! i ordered a large and it was so uncomfortably tight.i'm 5'3"" and 150lbs. it was such a shame. size large should not just be really a medium!",Intimates
-1,You have to be a contortionist to get this bra on. it slips over your head and i needed my 8yo daughter to help me pull it down past my elbows. ridiculously impractical. why oh why didn't heather give it a hook and loop closure instead?,Intimates
-1,"Got this in the sky color. returned it because the top is way too sheer for me  if you know what i mean. i wanted a pretty gown i can wear without a robe in front of my kids. no can do. also  for the price  material just felt flimsy & cheap. it does run small ~ the medium was good on me and i'm 5'2""  114#  34b",Intimates
-1,Fun  sexy underwear but rides up in the front. will return,Intimates
-1,3 tags - one quite huge (about 2'' by 3'') - very itchy. so i cut out the tags and they are sewn with some kind of hard poky plasticy thread - now even more itchy! i will have to wear these inside out.,Intimates
0,I'm a b-cup who hates traditional underwire bras  so i was excited to try this one out. while i appreciate that this bra has more structure and support than other wireless comfy bras  the cups provided too much coverage for my style. if you want to wear a shirt with a wide neck  or do a cute off-the-shoulder thing with your shirt  the top of the cup shows. bummer!,Intimates
0,I wanted to love this set  but sadly it just didn't fit as i had hoped. the small was bigger than expected and looked frumpy and not sexy. returned.,Intimates
0,If your hips are bigger than a size 6 us you can't fully close this robe. the model must be wearing the larger of the two sizes to have such a nice oversized fit. the fabric is soft and lux and amazing  but the weird dart in the back and the closure is right over my sadly size 8 hips and butt. if i was taller and thinner i would have kept this and worn it every day.,Intimates
0,I wanted to love these because they are so pretty and come in lots of colors  but after only a few minutes of wearing them  i was having to pull them out of my bottom! why does women's underwear so frequently ride up? i normally wear a size 4/28  and ordered these in a m  but i guess they were still too small  which seems unreasonable to me. they are soft and pretty  but i will not be ordering more.,Intimates
0,I ordered this in black and white  thinking you can never have enough silk camisoles.     i returned the black because it looked like polyester. the white is actually a cream/ivory  not bright white as pictured. it is also not the best feeling quality  however the fit is good  and true to size.,Intimates
0,This is a very nice bra  upset though because this is the second time i have ordered something from retailer and the place that the product was made was incorrect on the website. bra was made in peru and website said usa. makes it very hard to be socially responsible on this website. not sure i will continue to shop retailer in the future because of this.,Intimates
0,When ordering this product  i thought it was strange that the mediums were sold out. i went with the small which is generally what i wear. however  these run small and i see why the medium ran out. they are pretty  however  i wish they made them more true to size.,Intimates
0,I really was looking forward to this piece but unfortunately it was too small to even pass through my head nevertheless i couldn't even get both arms in. i got a size small and probably needed a large; but as far as the quality and color  it's really pretty! just go up a size or two if anything and try it out.,Intimates
0,"The fit is gorgeous  but i didn't realize it was completely transparent. when it says ""mesh"" it means ""mesh""! i was thinking the ""mesh"" part was on the bottom. because of how it is cut  high on the shoulders  you can't wear a cami underneath to provide coverage. very cute  but not practical.",Intimates
1,Cute layered cami. great colors for summer or fall. very light fabric  tends to get a bit staticy. shorter in the back than expected but a good versatile top,Intimates
1,Cute little sleep mask! the elastic band is wide so it doesn't ever feel like it's digging into your head. does a very good job keeping out light.,Intimates
1,Runs large  but very beautiful and sexy! the straps are elastic so better to size down.,Intimates
1,This is a beautiful piece for the price. very well made and flattering. i'm a 34c and usually wear a size 2-4 on top and solid size 4 on bottom. a size small in this fit great. it does not provide any support up top though so be aware of that.,Intimates
1,A great long line bra! beautiful and well made however it's tough to get the fit perfectly right. i usually wear a 32 b or 34 a and am 115lbs. the small was the best fit as the 32 (xs) was a very small 32. i could almost say it more of a 30 if that's even a size. it also rubs my skin few places so definitely not meant to be worn for more than a few hours. otherwise i recommend it!,Intimates
1,This is a very comfortable bralette- the silk covers one's most sensitive parts  so it feels like you are wearing almost nothing. it's very pretty  too. i wear a 34b bra and the small fits me. it doesn't have a lot of support  but it's very comfortable for wearing at home or on errands. the cups are a little far apart  but it still works. if you're looking for something pretty and comfortable for casual wear  i would recommend this at the sale price.,Intimates
1,I love this bralette. i have it in other colors as well and it is always the one i go to when i want comfort.,Intimates
1,Bought this for a vacation to mexico with my boyfriend. super flattering and soft. big thumbs up!,Intimates
1,This is an awesome bra! it has a reinforced cup underneath (although not an underwire)  which i like. i was a little worried that it'd be huge  as i'm on the smaller side of the natori 36b in other bras  but it fits well and seems like it would accommodate b or c cup ladies. the lace is pretty and it is well made. i want more colors!,Intimates
-1,This jacket was cute  however  i am normally a large with a bit of room to spare.  this has the irritating issue of not fitting under the arms and across the chest and shoulders.  it is not my shape as most other brands at retailer fit me. this jacket is not sized correctly.,Jackets
-1,"I didn't receive a jacket. i received a very expensive cardigan sweater with no structural qualities to it. jackets have some structure to them. for example they might nip in at the waist a bit. this cardigan doesn't do that. it hangs in a very boxy shape. the quality is great. very light weight and i really love the little pockets and details  but i don't need/want another cardigan.     i'm 5'5""  118 lbs and got a small. the small seemed big  but i think it would have fit fine if it had more st",Jackets
-1,Beautiful fabric! unfortunately  i had to return it. after just one wear  it had pills all over the side. fabric is too delicate. sad to return!,Jackets
-1,I have blazers in size 8 from this designer and they fit with room to spare. i understand this is a more fitted style  but it is still way too small. size 10 and size 12 were not much bigger. great colors and cute design  but just too small even if you do not plan on buttoning it. i hope they bring back this jacket but make it true to size.,Jackets
-1,This jacket is just too small for me anyway and i am no way big. i am tall and athletic and this thing looked like it had shrunk in the wash. there are so many better fitting other types out there  this went back,Jackets
-1,"I bought this jacket based on how it looked on the model  and from the reviews. i found it to be super big  and unflattering to say the least. i'm 5""10  155lbs. i sent it back.",Jackets
-1,I wish this fit me better. i love the inside fur. it is extremely soft but it doesn't look flattering at all. it makes my shoulders look really broad and it was shorter in the length than i wanted. it wanted it fit over my butt (or cover half) and it sits a little below my waist. unfortunately i am taking it back. great idea though.,Jackets
-1,"When i saw this jacket in store  i fell in love with it. the colors with the quilting and gold studs are gorgeous. i am 5'3"" 130# 36dd with petite frame. i tried a m on in store and the sleeves were super long and wide. the s was too small across chest and hung open oddly. the jacket is a nice heavy weight and great quality. i ordered a petite m and it was no better. i literally looked like a big marshmallow...a linebacker! the sleeves were so unflattering where it looked like i was wearing pvc",Jackets
-1,I was so excited for this kimono. i thought the colors would be lovely. i was looking for a unique wrap/vest/kimono. i ordered this online expecting to be dazzled. sadly  i was not. this arrived and fell short on all measures. the colors were flat  the fabric felt cheap and the construction did not scream $108. it felt like something i would find in a college import/head shop. back it went. i ended up buying the silves wrap  which i love.,Jackets
0,Beautiful sweater coat! love that is easy to pop on & head out. i did have to go to a seamstress and have the button moved as it was to large and boxy around my waist area.,Jackets
0,Delaine blazer so many little details with a slight bit of ruggedness. loved the unmatched buttons  checkered back and fraying that gave this piece personality making it appear less stuffy. easyily dress it up or down  that being said it seems to run true to size except the arms and shoulders were very tight. i would consider going up a size if more of an athletic build. ordered a 4 but i think a 6 would have been perfect!,Jackets
0,"Tried the navy in store. boy does it run big! i'm normally a size 6 / small (ish). 5'6""  34a-28-36. the xs was still quite boxy on me while the sleeves were well fitted. i understand this is the style and i like the design with the different sleeves. it was a no buy as the main fabric was already pilling in store and looked a bit cheap - sorry!",Jackets
0,I was searching for the perfect large comfy sweater for the cold winter weather ahead and i thought this would be it. it looks so cute in the pictures but when i received in by mail it wasn't what i was searching for. this sweater  like on the model  is quite large. although i wanted a large sweater  the fit of this one didn't fit well on me. it has more of a boxy feel to it. i usually wear a medium  but went with a small because i expected this to fit a little large and it still engulfed me. i,Jackets
0,This jacket was too wide and the length in the arms too short. i wear a medium in almost any article of clothing and felt like i was swimming in a short little jacket. the ratio of how wide it is to the length is not for me but might work well with other body types. the arms were definitely too short.,Jackets
0,"How can some reviewers say this jacket is true to size  yet others say it runs small? i think it's because this jacket is cropped. by the time i took advantage of the fall perks 20 percent discount  the xs peach was sold out so i ended up ordering size s. i also got the xs gray to compare. sure enough  the xs looks better but is cropped on me. for ref  i'm 5' 5""  32a  115 lbs. i don't really need another almost black jacket so i'm either sized out or have to exchange for xs peach to wear with dr",Jackets
0,When i tried it on it looked like a stiff bathrobe. straight  too boxy.,Jackets
0,"I agree with a previous reviewer who said that it was very nicely cut  but unfortunately  the materials are so cheap. the ""fleece"" material that it is made out of feels like the cheap polyester fleece blankets that you get at the discount stores. it will pill easily  and is noticeable even in the dark color. i must have gotten one shipped straight from the store  and it was already starting to do some gnarly pilling. i do love the cut of it  but i can't justify keeping it because this won't last",Jackets
0,I saw this jacket and loved the plaid and the idea of a soft sherpa material as a lining was hard to pass up1it was true to size and the material was very nice. however  the button closure was difficult as the buttonholes seemed a bit too small. also  the back of the jacket did not lay flat and it kept rolling.... i had to return this jacket.,Jackets
1,I love this little vest! such an easy outfit completer. just throw it on over jeans and a tank or long sleeves and voila...effortlessly chic! the colors pop and it's the perfect length. if you're on the fence with this one  definitely give it a try. you won't be disappointed!,Jackets
1,This is one you just need to see in person! stunning  detailed embroidery everywhere  gracefully oversized  very bohemian  light  airy and dreamy. this kimono was mine the second i saw it! white on white is classic...and this cream embroidery is beautiful. the kimono is very oversized. i'm normally a l or xl and this was plenty roomy. it's also quite long. nearly came down to my knees and i'm around 5'8. if there is an option for petite i'd recommend it to shorter gals! can't wait to pair this w,Jackets
1,First of all i love retailer  i am 67 yrs old and my whole closet comes from the store. this jacket is way cute. the color is very nice and the fabric is nice. only complaint is i wish the cuffs were just a bit tighter/smaller.,Jackets
1,I bought this kimono only a couple weeks ago...and i think i've worn it six times already! this kimono is stunning. light  airy and the colors are absolutely gorgeous. the print is unique and bold. i've worn this over a black dress...with leggings and a white tank...with denim and every color top. the options are endless with this beauty! the only downside is the kimono is so airy and oversized that the armholes easily get hooked on things. i ripped it once but thankfully it was right down the s,Jackets
1,I ordered my usual size-small. it is perfect because it has enough room to fit a thin shirt or turtleneck underneath when the weather is cooler. the material is very soft. looking forward to a lot of wear out of this vest.,Jackets
1,"This is quite possibly the greatest jacket of all time. i ordered it with the ""layered luna dress"" in grey  and i am now giddy with excitement to wear the combo! very chic. i am confident this will be a staple in the years to come. for reference  i ordered my normal size xs (5'5  115 lbs  muscular) and did not find it to be too tight in the arms (and i have fairly broad shoulders). i did not try it on with long sleeves  but i still think there would be adequate room.",Jackets
1,Top of the line! very well made and on sale to boot. i love the style and received a compliment from my sister when i wore it. i love the layered look.,Jackets
1,"I saw this vest the week it came in the store. i was hesitant  thinking  ""what do i have to go with this?"" i left the store and had to go back and purchase it. i'm so happy i did! it really does go well simple tops (dressy or casual). it is also perfect for the ""winter white"" trend happening this year!",Jackets
1,I was so afraid to get a too-small blazer (based on other reviews) that i ordered this two sizes up. i am usually a 0 or 2 in a blazer and ordered a 4. it was huge. i then ordered a 2 and it is just right. it's comfortable and chic and i love the blue and black combination.,Jackets
-1,I've never had a problem with pilcro jeans. i own several pairs. however  i ordered my regular size 28 (i'm 5'3  120 pounds) and not only were these jeans thin  they had zero stretch and after 1 hour of wear stretched out horribly. they fit really loose and hung around my knees and legs which is very disappointing for a skinny jean.,Jeans
-1,I really wanted to love these because i love my other steps  but they did not feel or fit the same way at all. i was also disappointed to see that they are cream and not white. these jeans feel stiffer than other stets i own and the waist was huge on me. sadly  these will be going back.,Jeans
